f1e2b0a9-9c3a-4b6a-8e3f-12d4a6b7c8d9,player01,player01@example.com,Password123,12,3,1,90,47,34,1,130,ONLINE,1,2026-03-15T10:15:30
3a2c1d4e-5b6f-7a89-9b01-2c3d4e5f6a7b,player02,player02@example.com,Password123,0,0,0,0,12,8,0,40,ONLINE,1,2026-03-16T08:22:11
c9b8a7f6-e5d4-3c2b-1a09-8f7e6d5c4b3a,player03,player03@example.com,Password123,25,10,5,150,9,4,5,50,ONLINE,1,2026-03-10T14:05:44
f1e2d3c4-b5a6-7890-1234-56c7d8e9f0a1,player04,player04@example.com,Password123,3,7,2,0,6,8,2,0,ONLINE,1,2026-03-18T19:30:00
0a1b2c3d-4e5f-6789-abcd-ef0123456789,player05,player05@example.com,Password123,31,2,0,290,23,17,0,60,ONLINE,1,2026-03-01T09:00:00
11223344-5566-7788-99aa-bbccddeeff00,player06,player06@example.com,Password123,13,9,9,40,8,6,9,20,ONLINE,1,2026-03-12T12:12:12
aa55bb66-cc77-dd88-ee99-001122334455,player07,player07@example.com,Password123,1,0,3,10,4,0,3,40,ONLINE,1,2026-03-19T07:45:55
123e4567-e89b-12d3-a456-426614174000,player08,player08@example.com,Password123,47,11,4,360,65,54,4,120,ONLINE,1,2026-03-05T16:40:20
de305d54-75b4-431b-adb2-eb6b9e546014,player09,player09@example.com,Password123,2,25,1,0,5,17,1,0,ONLINE,1,2026-03-11T11:11:11
fe8a9b7c-6d5e-4c3b-2a19-08f7e6d5c4b3,player10,player10@example.com,Password123,17,14,0,30,13,16,0,0,ONLINE,1,2026-03-14T13:25:37
#lastModified=2026-03-22T12:00:00
